prompt,completion,
去骨雞腿、鹽、胡椒粉、紅椒粉、印度咖哩粉、原味優格、蘑菇、洋蔥、紅蘿蔔、馬鈴薯、奶油、薑末、蒜末、蔬菜高湯、中辣口味咖哩塊、柴魚素、白飯,"雞肉咖哩飯
 食材：去骨雞腿，鹽，胡椒粉，紅椒粉，印度咖哩粉，原味優格，蘑菇，洋蔥，紅蘿蔔，馬鈴薯，奶油，薑末，蒜末，蔬菜高湯，中辣口味咖哩塊，柴魚素，白飯
 作法：1.去骨雞腿撒上鹽、胡椒粉，放置約10分鐘後，切成適當塊狀，再與紅椒粉、印度咖哩粉、原味優格充分拌勻備用。2.蘑菇切半；洋蔥、紅蘿蔔、馬鈴薯去皮切成滾刀塊（約一口大小），備用。3.熱鍋，加入奶油，融化後炒香薑末、蒜末，再放入作法1的去骨雞腿，以中火煎至肉色變白，續加入作法2的材料拌炒及蔬菜高湯煮滾，水滾後繼續用中火燉煮約20分鐘至所有食材柔軟為止。4.將作法3加入中辣口味咖哩塊，輕輕攪拌均勻融合，再加入柴魚素拌勻後熄火，即為雞肉咖哩醬。5.白飯裝盤，搭配雞肉咖哩一起食用即可。",
雞胸肉片、白芝麻、辣味冬粉拌菜、菠菜拌菜、香拌南瓜絲,"雞肉拌飯
 食材：雞胸肉片，白芝麻，辣味冬粉拌菜，菠菜拌菜，香拌南瓜絲
 調味料：自製魚露拌醬，自製烤肉沾醬，20度料理米酒，白胡椒粉，胡麻油
 作法：1.將雞胸肉片放入容器內後，再放入所有醃料材料一起混拌均勻，再繼續放入白芝麻拌勻後醃漬30分鐘備用。2.炒菜鍋熱鍋後，倒入適量的沙拉油，再加入作法1的雞胸肉片，以中火將雞胸肉拌炒至熟。3.拌飯碗內盛入白飯後，先放上作法2，再依序放入辣味冬粉拌菜、香拌南瓜絲、菠菜拌菜即可。",
去骨生雞腿、豬皮、香菇、薑、蔥、香菜,"雞肉凍
 食材：去骨生雞腿，豬皮，香菇，薑，蔥，香菜
 調味料：鹽，砂糖，紹興酒，水
 作法：1.去骨生雞腿肉去皮；香菇切丁；薑洗淨去皮切片；蔥洗淨切段，備用。2.作法1去骨生雞腿肉放入滾水中汆燙，撈起備用。3.將作法2鍋中的水再次煮至滾沸，放入豬皮煮約10分鐘，撈出豬皮用刀刮去多餘的肥油，再把豬皮切小丁，備用。4.另備一鍋，放入作法1的香菇丁、薑片、蔥段、作法2的雞腿肉、作法3的豬皮丁以及所有調味料，以小火燉煮約20分鐘，熄火。5.撈出作法4的雞腿肉切小塊，放入碗中，備用。6.撈除作法4鍋中的香菇丁、薑片、蔥段及豬皮丁，將鍋中的湯汁倒入作法5的碗中，待涼放入冰箱冷藏至湯汁凝結成凍，食用時擺上香菜裝飾即可。",
棒棒腿、冬粉、洋蔥、紅甜椒、蒜仁、老薑、水,"雞肉粉絲煲
 食材：棒棒腿，冬粉，洋蔥，紅甜椒，蒜仁，老薑，水
 調味料：醬油，辣豆瓣醬，鹽，雞粉，糖
 醃料：醬油，酒，太白粉
 作法：1.冬粉泡水至軟、再切半；洋蔥切片；紅甜椒切片；薑去皮切片；蒜仁削去兩邊尖端，備用。2.棒棒腿剁小塊，洗去血水、瀝乾，加入所有醃料拌勻，備用。3.熱鍋，加入2大匙沙拉油，放入作法1的薑片、蒜仁炸至略黃後撈出，備用。4.同作法3原鍋，放入作法2的雞腿塊以中火煎至兩面焦黃，再放入水及所有調味料拌勻，接著放入作法3的薑片、蒜仁、作法1的洋蔥片，以小火加蓋燜煮約5分鐘，再加入作法1的冬粉、紅甜椒片煮滾即可。",
雞胸、水、薑片、青蔥、紅蔥末、生雞油,"雞肉飯
 食材：雞胸，水，薑片，青蔥，紅蔥末，生雞油
 調味料：米酒，淡色醬油，鹽，冰糖，白胡椒粉
 作法：1.雞胸洗淨、放入沸水中汆燙，再撈出洗去穢血，備用。2.取一湯鍋，加入700㏄的水、作法1的雞胸、薑片、青蔥段煮滾後，轉小火並蓋上鍋蓋，續煮約15分鐘，接著熄火燜約5分鐘，待涼後取出雞胸（保留鍋中湯汁）。3.將作法2的雞胸先撥下大片雞胸肉，再撕成細絲，此即為雞肉絲。4.取一炒鍋，放入生雞油以中火炸出液狀雞油，再將渣取出後，續放入紅蔥末爆炒至呈金黃色微焦狀後，撈出瀝乾油分，備用。5.過濾作法2中的湯汁，加入全部調味料煮滾，再加入作法4的紅蔥酥，拌煮至均勻，此即為紅蔥雞汁。",
隔夜飯、雞柳片、洋蔥、香菜、雞蛋,"雞肉滑蛋蓋飯
 食材：隔夜飯，雞柳片，洋蔥，香菜，雞蛋
 調味料：A.太白粉水，B.砂糖，醬油，米酒，味醂，水
 作法：1.隔夜飯先蒸熱後備用。2.雞柳片洗淨；洋蔥去皮切絲；香菜洗淨切段後備用。3.將蛋打散後再加入太白粉水調勻備用。4.將調味料B放入平底鍋中調勻後，加入雞柳片以中小火煮約3分鐘，加入洋蔥絲續煮4分鐘，從平底鍋中央淋上調好的蛋汁，轉動整個鍋子讓蛋汁散開，蛋汁凝固後放上香菜並熄火。5.將隔夜飯盛入大碗中，蓋上作法4中煮好的雞肉滑蛋即可。",
去骨雞腿肉、烤豆腐、牛蒡、青蔥、綠花椰菜、秀珍菇、沙拉油,"雞肉壽喜鍋
 食材：去骨雞腿肉，烤豆腐，牛蒡，青蔥，綠花椰菜，秀珍菇，沙拉油
 調味料：壽喜燒醬汁，鹽
 作法：1.綠花椰菜洗淨瀝乾切小朵狀，取鍋加水煮至滾沸後，加入少許鹽，放入綠花椰菜汆燙至外觀呈翠綠色，再撈起泡冷水備用；牛蒡用刀背刮除表皮，先切薄片狀後再切成細絲；青蔥斜切段狀；秀珍菇洗淨瀝乾；烤豆腐分切成四小塊備用。2.將去骨雞腿肉洗淨瀝乾，切成適當大小塊狀後放入盛盤備用。3.取一壽喜鐵鍋燒熱，倒入適量沙拉油，加入作法2的去骨雞腿肉塊，煎至兩面上色，放入作法1的牛蒡絲和青蔥段拌炒，於鍋中倒入適量壽喜燒醬汁，將作法1剩餘的食材依序放入烹煮，即可一邊煮一邊食用。4.食用時，可依各人喜好，搭配沾醬食用。",
雞絞肉、洋蔥、玉米粒、蛋白、沙拉油、四季豆、綠花椰菜,"雞肉漢堡排
 食材：雞絞肉，洋蔥，玉米粒，蛋白，沙拉油，四季豆，綠花椰菜
 調味料：黑胡椒，鹽，糖，中筋麵粉
 作法：1.四季豆洗淨，去頭尾；綠花椰菜洗淨，切小朵；均放入滾水中汆燙至熟，撈起瀝乾備用。2.洋蔥去皮，洗淨後切成小碎丁狀，放入大攪拌盆中。3.在作法2中放入雞絞肉、蛋白、玉米粒與所有調味料，一起攪拌均勻。4.手掌沾上少許油，再將作法3的材料抓成圓球，放入手掌心中，以雙手將肉排兩面交互拍打成厚度約2公分的圓餅狀。5.熱鍋中倒入1大匙油以中火燒熱，放入作法4的雞肉漢堡排，再以中小火續煎至兩面呈金黃色，盛入盤中後放入作法1即可。",
三色螺旋麵、雞胸肉、奶油、高湯,"雞肉螺旋麵
 食材：三色螺旋麵，雞胸肉，奶油，高湯
 調味料：鹽，奶油白醬，紅醬
 作法：1.三色螺旋麵在水煮沸時，放入煮約?分鐘即可撈起；雞胸肉切條狀，備用。2.在平底鍋中，加入奶油至融化後，放入作法1的雞胸肉條炒香。3.於作法2中再加入所有調味料和高湯拌勻，最後再放入煮熟三色螺旋麵拌勻即可。",
雞胸肉、洋蔥絲、蒜片、蘑菇蕃茄醬、斜管面,"雞肉蘑菇蕃茄斜管麵
 食材：雞胸肉，洋蔥絲，蒜片，蘑菇蕃茄醬，斜管面
 調味料：白酒，鹽，胡椒粉
 作法：1.斜管麵放入滾水中煮熟後，撈起泡冷水至涼，再以少許橄欖油(材料外)拌勻，備用。2.熱油鍋，放入蒜片炒至金黃色時，加入洋蔥絲、雞胸肉絲、蘑菇蕃茄醬及作法1的斜管麵炒勻入味。3.於作法2的鍋中再加入所有調味料拌勻即可。",
雞屁股、麻辣湯底、長竹籤,"雞屁股
 食材：雞屁股，麻辣湯底，長竹籤
 作法：1.將雞屁股先沖水洗淨，用長竹籤串起備用。2.取鍋，加入麻辣湯底煮至滾沸，再放入作法1的雞屁股，改轉小火滷約15分鐘即可熄火。3.食用前，放入加熱後的麻辣湯底中，煮約15秒即可。",
雞胗、鹽水滷汁,"雞胗
 食材：雞胗，鹽水滷汁
 作法：1.雞胗先以刀劃開後，去除中心黃色部分，洗凈備用。2.將作法1的雞胗放入滾水中略汆燙後撈起。3.取鍋，加入鹽水滷汁煮至滾沸，再放入作法2的雞胗，改轉小火滷約12分鐘即可熄火。",
雞胸肉、鹽水滷汁,"雞胸肉
 食材：雞胸肉，鹽水滷汁
 作法：1.雞胸肉以清水洗凈備用。2.取鍋，加入鹽水滷汁煮至滾沸，再放入作法1的雞胸肉，改轉小火滷約8分鐘後熄火，再浸泡20分鐘即可撈出。3.食用前切片盛盤即可。",
湯鍋、雞骨、洋蔥、西芹、紅蘿蔔、水,"雞高湯
 食材：湯鍋，雞骨，洋蔥，西芹，紅蘿蔔，水
 作法：1.雞骨汆燙洗淨，洋蔥、西芹、紅蘿蔔洗淨切塊備用。2.取湯鍋放入作法1的所有材料，倒入水。3.開火，將作法2湯鍋中的水煮滾後，改轉微火續煮1小時，過濾後即是雞高湯。",
芥菜、薑片、水,"雞湯煲長年菜
 食材：芥菜，薑片，水
 調味料：牛頭牌原味高湯，牛頭牌雞湯塊，牛頭牌鮮味雞晶，米酒，冰糖
 作法：1.芥菜去蒂頭厚一葉一葉剝下清洗乾淨，放入沸水中汆燙約3分鐘，撈出備用。2.熱鍋，倒入1大匙豬油，放入薑片爆香後，加入牛頭牌原味高湯、水煮至沸騰，再加入作法1的芥菜續煮至沸騰，轉小火再煮約30分鐘。3.於作法2中加入其餘調味料煮約5分鐘即可。",
雞胸肉、涼粉皮、小黃瓜、蔥,"雞絲拉皮
 食材：雞胸肉，涼粉皮，小黃瓜，蔥
 調味料：芝麻醬，醬油，黑醋，香油，糖，鹽，蒜末，薑末
 作法：1.雞胸肉放入沸水中煮熟，放涼剝絲；涼粉皮切絲，以冷開水沖過，備用。2.小黃瓜洗淨刨絲，浸泡冷水後瀝乾；蔥切絲，備用。3.所有調味料混合調勻備用。4.取一盤，依順序疊上作法1的涼粉皮、作法2的小黃瓜絲、蔥絲、雞絲。5.再淋上作法3的調味料即可。",
雞胸肉、黃瓜、涼粉皮,"雞絲拉皮
 食材：雞胸肉，黃瓜，涼粉皮
 調味料：芝麻醬，白醋，細砂糖，涼開水，香油
 作法：1.雞胸肉用水煮或蒸10分鐘，熟後待涼，用手撕成粗絲；小黃瓜切絲，備用。2.涼粉切條置盤底，依序舖上作法1的黃瓜絲和雞絲。3.芝麻醬先用涼開水調稀，再調入其他剩餘的調味料，拌勻後淋至作法2的涼粉上，食用前拌勻即可。",
雞胸肉、高麗菜絲、紅蘿蔔絲、小黃瓜絲、碎花生、調味魚露,"雞絲涼拌
 食材：雞胸肉，高麗菜絲，紅蘿蔔絲，小黃瓜絲，碎花生，調味魚露
 作法：1.雞胸肉煮熟放涼、撕成絲條狀備用。2.將高麗菜絲、紅蘿蔔絲、小黃瓜絲、作法1的雞絲依續舖在碟子裡。3.將調味魚露澆在作法2的材料上，再撒上碎花生即可。",
米、雞肉、蛋、西生菜、蒜頭、蔥,"雞絲蛋炒飯
 食材：米，雞肉，蛋，西生菜，蒜頭，蔥
 調味料：鹽，胡椒粉，醬油
 作法：1.米洗淨，浸泡30分鐘再煮熟，煮熟後拌鬆備用。2.蒜頭剝膜，洗淨切丁；西生菜洗淨切絲；蔥洗淨切粒；蛋洗淨，敲入容器中打散備用。3.雞肉洗淨，入鍋煮熟，待涼剝細絲備用。4.炒鍋放入3大匙沙拉油，以中火燒熱至油溫140℃，爆香蒜丁、蔥粒，再放入作法3的雞肉，續加入蛋汁炒熟，最後轉小火放入西生菜和飯粒、調味料一起炒均勻即可。",
雞腳、蔥、薑片、蒜頭、辣椒、雞腳凍滷包、味醂、豬皮、米酒、鹽,"雞腳凍
 食材：雞腳，蔥，薑片，蒜頭，辣椒，雞腳凍滷包，味醂，豬皮，米酒，鹽
 調味料：醬油，冰糖，鹽，米酒
 作法：1.將材料中的滷包、水600㏄、醬油、冰糖、辣椒放入鍋子中，浸泡20分鐘後，燒開備用。2.雞腳洗淨後，切去腳趾，放入鍋中，加入水、適量米酒、老薑，開大火煮滾，將雞腳汆燙去腥，取出後沖冷水，再瀝乾水份備用。3.蔥洗淨後切長段，蒜頭拍過備用。起油鍋，放入蔥段、薑片、蒜頭爆香，倒入作法1的鍋子中，再把雞腳放入，用小火滷約30分鐘，熄火後再燜30分鐘，取出後放入方形保鮮盒中備用。4.將水晶凍材料中的豬皮洗淨，刮皮表面細毛，和適量水、蔥、老薑、米酒一起煮滾，將豬皮汆燙去腥，撈起瀝乾水份備用。5.將豬皮、水1200cc、蔥、薑片、米酒、滷包用小火熬煮至豬皮熟爛，加入鹽、味醂調味後，再過濾，等溫度下降至50℃左右，倒入放雞腳的方形保鮮盒中。6.等凝固後再放入冰箱中冷藏，隨時可取出食用。",
雞腸、鹽水滷汁,"雞腸
 食材：雞腸，鹽水滷汁
 作法：1.先以適量的鹽清洗雞腸後備用。2.取鍋，加入鹽水滷汁煮至滾沸，再放入作法1的雞腸，燙約5秒即可。",
罐頭玉米粒、雞胸肉、洋蔥、蛋、蔥、香油、太白粉水、高湯,"雞蓉玉米濃湯
 食材：罐頭玉米粒，雞胸肉，洋蔥，蛋，蔥，香油，太白粉水，高湯
 調味料：鹽，黑胡椒粉
 醃料：鹽，糖，太白粉
 作法：1.雞胸肉切細絲，以少許鹽、糖、太白粉抓勻備用。2.洋蔥切丁；蔥切蔥花；蛋打散成蛋液，備用。3.取湯鍋加入高湯；放入作法2的洋蔥丁及罐頭玉米粒煮至沸騰。4.放入作法1的雞絲，待再度沸騰後以鹽調味，加太白粉水勾芡。5.上桌前灑上香油、黑胡椒粉，作法2的蔥花即可。",
烏骨雞、生薑、水、枸杞、當歸、熟地、人蔘片、紅棗、川芎、蔘鬚,"藥燉烏骨雞
 食材：烏骨雞，生薑，水，枸杞，當歸，熟地，人蔘片，紅棗，川芎，蔘鬚
 調味料：料理米酒，鹽
 作法：1.生薑切小片；枸杞洗淨泡軟瀝乾；烏骨雞去內臟洗淨，備用。2.將蔘鬚塞入烏骨雞腹內，備用。3.取一砂鍋，放入步驟2的烏骨雞及步驟1的枸杞和其他所有的藥材，再加入步驟1的薑片及水、料理米酒，用砂鍋蓋或是保鮮膜密封，放入蒸籠用大火蒸約40分鐘後熄火取出，最後加入鹽調味即可。",
雞肉條、蘆筍、黃甜椒條、蒜末、薑末、辣椒絲,"蘆筍雞柳
 食材：雞肉條，蘆筍，黃甜椒條，蒜末，薑末，辣椒絲
 調味料：鹽，雞粉，糖
 醃料：鹽，太白粉，米酒
 作法：1.蘆筍切段，汆燙後撈起，備用。2.雞肉條加入所有醃料拌勻，備用。3.熱鍋，加入適量沙拉油，放入蒜末、薑末、辣椒絲爆香，再放入作法2的雞肉條拌炒至顏色變白，接著放入作法1的蘆筍段、黃甜椒條、所有調味料炒至入味即可。",
去骨雞腿肉、鹽、白胡椒粉、火腿片、蘆筍、鋁箔紙、麵粉、蛋液、麵包粉,"蘆筍雞捲
 食材：去骨雞腿肉，鹽，白胡椒粉，火腿片，蘆筍，鋁箔紙，麵粉，蛋液，麵包粉
 調味料：黃芥茉醬，綠芥茉醬
 作法：1.將去骨雞腿肉的皮朝下鋪開，加入鹽、白胡椒粉調味，然後依序擺上火腿片、蘆筍後一起捲起來，放置於鋁箔紙上捲成像糖果的圓筒狀，放入蒸籠以大火蒸煮8分鐘使其定型。2.取出作法1的材料，拆開鋁箔紙後，依序沾裹上麵粉、蛋液、麵包粉，然後放入170℃的油鍋中，以中小火炸8分鐘即可取出裝盤。3.食用的時候，依個人的喜好加入黃芥茉醬與綠芥茉醬一起享用。",
雞里肌肉、紅蘋果、青蘋果、蔥,"蘋果炒雞肉片
 食材：雞里肌肉，紅蘋果，青蘋果，蔥
 調味料：水，醬油，白醋，糖，鹽
 作法：1.雞里肌肉切成片狀，加入少許酒（份量外）略醃備用。2.紅、青蘋果對切，再切城約0.3公分厚的扇片狀；蔥切約3公分長段，備用。3.熱鍋，倒入適量的沙拉油，加入作法1的雞里肌肉片炒至變白，盛起備用。4.另熱一鍋，倒入適量的沙拉油，放入作法2的蘋果片略炒後，再放入蔥段及事先混合的所有調味料拌炒均勻，再放入作法3的雞里肌肉片拌勻即可。",
蘋果、雞胸肉、西芹、紅椒、黃椒、薑,"蘋果雞絲沙拉
 食材：蘋果，雞胸肉，西芹，紅椒，黃椒，薑
 調味料：Ａ.米酒，鹽，Ｂ.橄欖油，蘋果醋，鹽，楓糖漿
 作法：1.將雞胸肉與薑洗淨，一起放入碗中，加入調味料Ａ醃入味，再放入烤箱烤熟，待涼切絲。2.西芹去皮，洗淨切絲，放入水中汆燙，撈起放入冷水中泡涼。3.紅椒、黃椒洗淨，去蒂去籽，放入冰水中泡10分鐘後撈出切絲。4.蘋果去皮切絲，放入加有少許鹽(份量外)的冰開水中浸泡5分鐘，再瀝乾盛入盤中，加入作法1～3的材料。5.將調味料Ｂ倒入小碗中調勻，淋在作法4的盤中即可。",
雞丁、蘑菇、小黃瓜、太白粉、高湯、鹽、蒜末、白酒、橄欖油、蕃茄醬、胡椒粉、迷迭香,"蘑菇炒雞丁
 食材：雞丁，蘑菇，小黃瓜，太白粉，高湯，鹽，蒜末，白酒，橄欖油，蕃茄醬，胡椒粉，迷迭香
 作法：1.將所有洋風熱炒醃醬混合均勻；蘑菇切小塊；小黃瓜切丁，備用。2.雞丁洗淨加入作法1的洋風熱炒醃醬醃約10分鐘備用。3.於作法2中加入太白粉拌勻備用。4.熱鍋，倒入少許的油，放入作法1的蘑菇塊、小黃瓜丁炒香。5.再加入高湯及作法2的雞丁以大火炒勻即可。",
去骨雞腿肉、蘑菇片、蒜末、洋蔥片,"蘑菇香蔥佐雞排
 食材：去骨雞腿肉，蘑菇片，蒜末，洋蔥片
 調味料：A.黑胡椒粉，鹽，B.牛頭牌紅蔥肉燥，牛頭牌原味高湯
 作法：1.去骨雞腿肉撒上黑胡椒粉及鹽抹勻稍醃5分鐘備用。2.熱平底鍋，放入作法1的雞腿排以小火乾煎約5分鐘，直到表面呈金黃色翻面，再繼續煎約4分鐘後取出裝盤。3.作法2鍋底留少許油，將蒜末、蘑菇片及洋蔥片入鍋，以小火炒香。4.再加入牛頭牌紅蔥肉燥及牛頭牌原味高湯，以小火煮至沸騰，再續煮約半分鐘至稠狀，淋至作法2的雞腿排上即可。",
寬麵、雞肉丁、紅蘿蔔丁、青豆,"蘑菇鐵板麵
 食材：寬麵，雞肉丁，紅蘿蔔丁，青豆
 調味料：蘑菇醬
 作法：1.備一鍋滾水，放入麵條、紅蘿蔔丁、青豆煮至熟，撈起備用。2.熱油鍋，放入雞肉丁炒香，再放入紅蘿蔔丁和青豆一起拌炒至熟。3.續加入蘑菇醬調味後，再將麵條放入鍋中，翻炒均勻即可。",
肉雞腳、蔥、薑片、八角、花椒、豆豉、辣椒,"蠔油鳳爪
 食材：肉雞腳，蔥，薑片，八角，花椒，豆豉，辣椒
 調味料：a.麥芽糖，白醋，水，b.蠔油醬，鹽，味精，糖，太白粉，米酒，芝麻醬，水，c.香油
 作法：1.肉雞腳洗淨剁去指甲，取一鍋水煮沸後將所有調味料A入鍋煮開，放入雞腳汆燙，撈起後沖冷水瀝乾水份；辣椒切成細末備用。2.熱鍋，倒入沙拉油燒至200℃，將作法1的雞腳分次入鍋炸至表面焦黃，即可撈起瀝乾油脂。3.取一鍋水，煮沸後放入作法2的炸雞腳、蔥、薑、八角、花椒，再用小火煮約20分鐘後倒出雞腳瀝乾水份放涼。4.作法3的雞腳全剁成2段，放入攪拌盆中；另取一小碗加入所有調味料B調成漿狀，再倒入攪拌盆中與雞腳充分拌勻，加入香油、豆豉、作法1的辣椒末即可盛入小盤，放入蒸籠以大火蒸約5分鐘即可。",
放山母雞、老薑、蔥、水,"鹹水雞
 食材：放山母雞，老薑，蔥，水
 調味料：A.甘草片，雞粉，雞油高湯，白醬油，冰糖，鹽，B.蔥花，花椒粉，香油，胡椒鹽
 作法：1.將全雞仔細洗淨，內臟全部撈空去除；蔥、老薑以刀背拍碎備用。2.將調味料A全部煮沸騰後取出待涼即為鹹水淋醬。3.熱鍋，注入7000cc的水煮至沸騰時，將雞脖子握住，讓雞身入水汆燙約30秒後立即使雞身離水，再續煮至水再次沸騰時，轉小火並將全雞二度放入鍋中，以小火煮約40分鐘，撈出並馬上泡入冰水盆中。4.將作法3連盆一起放入冷凍庫中冰15分鐘後再取出，將全雞撈出剁成塊狀，放入盆中淋上鹹水淋醬，重複此步驟5次至入味後再瀝乾醬汁，再將調味料B拌勻後灑上即可。",
帶骨雞胸肉、九層塔、地瓜粉,"鹹酥雞
 食材：帶骨雞胸肉，九層塔，地瓜粉
 調味料：A.蔥，薑，蒜仁，五香粉，醬油膏，水，料酒，細糖，小蘇打，B.椒鹽粉
 作法：1.雞胸肉洗淨後去皮剁小塊；九層塔挑去硬梗後洗淨瀝乾，備用。2.將調味料A一起放入果汁機攪打約30秒濾去渣成醃汁。3.將雞胸肉放入醃汁中醃漬8小時後，撈出雞塊，均勻沾裹地瓜粉備用。4.熱油鍋，待油溫燒熱至約180℃，放入雞塊中火炸約2分鐘至表皮成金黃酥脆時以漏杓撈起，再加入九層塔與雞肉一起再入油鍋中炸？秒鐘，再撈起瀝乾油。5.將作法4趁熱灑上椒鹽粉調味即可。",
雞胸肉、九層塔、黃豆粉、蕃薯粉、胡椒鹽,"鹹酥雞
 食材：雞胸肉，九層塔，黃豆粉，蕃薯粉，胡椒鹽
 調味料：蒜泥，蛋液，太白粉，淡色醬油，米酒，冰糖，白胡椒粉，五香粉，甘草粉
 作法：1.將雞胸肉先去皮，接著清洗乾淨，可依個人喜好選擇是否要將雞胸肉內的軟骨去除，再分切成小塊狀。2.將處理好的雞胸放入容器中加入所有A料充分的拌均勻。3.接著將醃好的雞胸肉冷藏靜置2小時，讓雞肉充分入味後取出。4.將蕃薯粉與黃豆粉一起放入大盆中混合均勻作成沾粉。5.將雞肉放入裹粉中以抓拌及滾動的方式讓雞肉塊均勻沾裹沾粉，接著放入180℃的熱油中以中火油炸6分鐘，入鍋時稍微翻動以避免雞肉互相沾黏。6.油炸至浮於油表面且油泡變小時，將雞肉塊撈至漏杓中。7.在漏杓中放入九層塔，與雞肉一起再入油鍋中油炸2秒鐘，讓雞肉吸收九層塔的香氣，九層大勿炸至酥脆，口感反而會不好。8.將步驟7以稍微搖動漏杓的方式快速瀝乾油分，並趁熱撒上B料即可。",
土雞腿、黨蔘、黃耆、紅棗、水,"黨蔘黃耆燉雞湯
 食材：土雞腿，黨蔘，黃耆，紅棗，水
 調味料：鹽，米酒
 作法：1.土雞腿剁小塊備用。2.取一湯鍋，加入適量份量外的水煮至滾沸後，將作法1的土雞腿塊放入滾水中汆燙約1分鐘後取出、洗淨，放入電鍋內鍋中。3.將黨蔘、黃耆和紅棗用清水略為沖洗後，與水加入作法2的電鍋內鍋中。4.電鍋外鍋先加入2杯水後，放入作法3的電鍋內鍋，蓋上鍋蓋、按下電鍋開關，待電鍋開關跳起，燜約20分鐘後，再加入鹽及米酒調味即可。",
烏骨雞、霸王花、枸杞、陳皮、水,"霸王花烏骨雞湯
 食材：烏骨雞，霸王花，枸杞，陳皮，水
 調味料：鹽，米酒
 作法：1.烏骨雞肉剁小塊備用。2.取一湯鍋，加入適量份量外的水煮至滾沸後，將作法1的烏骨雞肉塊放入滾水中汆燙約1分鐘後取出洗淨，放入電鍋內鍋中。3.將霸王花、枸杞和陳皮用清水略為沖洗後，與水加入作法2的電鍋內鍋中。4.電鍋外鍋先加入2杯水後，放入作法3的電鍋內鍋，蓋上鍋蓋、按下電鍋開關，待電鍋開關跳起，燜約20分鐘後，再加入鹽及米酒調味即可。",
土雞、白蘿蔔、老薑、青蔥、水,"蘿蔔燉雞湯
 食材：土雞，白蘿蔔，老薑，青蔥，水
 調味料：鹽，米酒
 作法：1.土雞剁小塊，放入滾水汆燙1分鐘後撈出備用。2.白蘿蔔去皮切滾刀塊，放入滾水汆燙1分鐘撈出備用。3.老薑去皮切片；青蔥切段，備用。4.將作法1～3的所有食材、水和調味料，放入電子鍋內鍋，按下「煮飯」鍵，煮至開關跳起即可。",
全雞、薑、青蔥,"鹽水白斬雞
 食材：全雞，薑，青蔥
 調味料：鹽，白胡椒粉，米酒，桔醬
 作法：1.將全雞洗淨備用。2.薑切片；青蔥切段備用。3.取一個炒鍋加入冷水，放入作法1的全雞和作法2的材料，以中小火煮約10分鐘，燜20分鐘（煮的過程中不可以讓水一直滾沸，要適時的將全雞翻面）。4.將作法3煮熟的全雞撈起，淋入米酒和抹上一層薄薄的鹽，放至待冷後，再剁成片狀盛盤，並搭配桔醬一起食用即可。",
土雞、薑、蔥、花椒、鹽、水,"鹽水雞
 食材：土雞，薑，蔥，花椒，鹽，水
 調味料：鹽，糖，紹興酒
 作法：1.將土雞洗淨取出雞脂肪後剁去雞腳；薑去皮切片備用。2.熱鍋，將3大匙鹽與花椒乾炒至略呈淺咖啡色時，起鍋將甚塗抹於作法1的雞身每一部位。3.取一深鍋，放入2500㏄的水、作法1的薑片、蔥以中火煮至滾沸，將作法2的雞從頸部提起放入，以上下拉提的方式重覆六次使其內部充分受熱後，再將整隻雞泡入滾水中以大火煮至水滾後，再轉極微火續煮約15分鐘後熄火，蓋上鍋蓋燜約30分鐘。4.以二隻筷子撐起土雞後，放在盤中以風扇吹涼。5.將作法3鍋中的雞湯與所有調味料混合均勻，待涼時，將作法4己涼的雞泡入約6小時至入味即可。",
仿土雞、薑、青蔥、水,"鹽水雞
 食材：仿土雞，薑，青蔥，水
 調味料：鹽，白胡椒粉，米酒
 作法：1.將薑切片；青蔥切段備用。2.將全雞洗淨，放入鍋中加入冷水淹過全雞，再加入作法1的材料，蓋上鍋蓋以中火煮開約15分鐘，再關火燜30分鐘。3.接者再將所有調味料加入作法2的鍋中，再放冷切成小塊狀即可。",
雞腿、薑、青蔥、蒜頭,"鹽水雞
 食材：雞腿，薑，青蔥，蒜頭
 調味料：雞粉，鹽，冷開水，冰塊
 作法：1.雞腿洗淨、放入滾水中快速汆燙過水，備用。2.取鍋，加入可蓋過雞腿的水量，放入作法1汆燙好的雞腿，再加入薑片、青蔥段、蒜片，以中火將雞腿煮熟。3.另取一鍋冷開水，放入鹽與雞粉調勻，加入冰塊冷卻，再放入作法2煮熟的雞腿，浸泡約12小時以上至入味，食用前切塊盛盤即可（如要美觀，可另加入生菜葉裝飾）。",
雞胗、雞肝、雞心、雞腸,"鹽水雞內臟
 食材：雞胗，雞肝，雞心，雞腸
 調味料：蔥花，薑末，胡椒粉，香油
 作法：1.將雞胗最厚的地方劃一刀，雞心底部切十字。2.鹽水雞熄火浸泡30分鐘起鍋前十五分鐘丟入雞胗、雞心、雞肝，與雞肉一起燜十五分鐘即可起鍋。3.鹽水雞熄火浸泡30分鐘起鍋前五分鐘丟入雞腸，與雞肉一起燜五分鐘即可起鍋。4.將雞胗、雞心、雞肝切片；雞腸切段，視個人喜好加入調味料即可食用。",
